Accident_ID,Accident Date,Day_of_Week,Junction_Detail,Accident_Injuries,Light_Conditions,death_toll,Number_of_Vehicles,Road_Surface_Conditions,Road_Type,Speed_limit,Hour_of_Accident,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
200901BS70466,2021-08-21,Friday,Not at junction or within 20 metres,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,13.0,Urban,Fine no high winds,Car
200901BS70467,2021-08-16,Sunday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,18.0,Urban,Fine no high winds,Van
200901BS70468,2021-08-20,Thursday,T or staggered junction,Slight,Darkness - lights lit,1.0,1.0,Dry,One way street,30.0,19.0,Urban,Fine no high winds,Car
200901BS70469,2021-07-21,Tuesday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,10.0,Urban,Fine no high winds,Car
200901BS70470,2021-08-15,Saturday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,13.0,Urban,Fine no high winds,Car
200901BS70471,2021-08-21,Friday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,8.0,Urban,Fine no high winds,Car
200901BS70474,2021-08-24,Monday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,14.0,Urban,Fine no high winds,Car
200901BS70475,2021-08-23,Sunday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,16.0,Urban,Fine no high winds,Car
200901BS70477,2021-08-17,Monday,Crossroads,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,7.0,Urban,Fine no high winds,Car
200901BS70478,2021-06-24,Wednesday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,One way street,30.0,15.0,Urban,Fine no high winds,Car
200901BS70479,2021-08-14,Friday,Crossroads,Serious,Daylight,1.0,2.0,Dry,Single carriageway,30.0,14.0,Urban,Fine no high winds,Car
200901BS70480,2021-08-27,Thursday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,13.0,Urban,Fine no high winds,Van
200901BS70481,2021-08-31,Monday,Crossroads,Serious,Darkness - lights lit,2.0,2.0,Dry,Single carriageway,30.0,3.0,Urban,Fine no high winds,Car
200901BS70482,2021-08-28,Friday,Mini-roundabout,Slight,Daylight,1.0,2.0,Dry,Roundabout,30.0,12.0,Urban,Fine no high winds,Car
200901BS70483,2021-08-31,Monday,Not at junction or within 20 metres,Slight,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,22.0,Urban,Fine no high winds,Car
200901BS70484,2021-08-28,Friday,Crossroads,Serious,Daylight,2.0,1.0,Dry,Single carriageway,30.0,14.0,Urban,Fine no high winds,Car
200901BS70485,2021-08-27,Thursday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,17.0,Urban,Fine no high winds,Car
200901BS70486,2021-08-31,Monday,Crossroads,Slight,Daylight,1.0,2.0,Dry,One way street,30.0,16.0,Urban,Fine no high winds,Car
200901BS70488,2021-09-04,Friday,Crossroads,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,15.0,Urban,Fine no high winds,Car
200901BS70489,2021-09-04,Friday,Mini-roundabout,Slight,Daylight,1.0,2.0,Dry,Roundabout,30.0,16.0,Urban,Fine no high winds,Car
200901BS70490,2021-09-02,Wednesday,T or staggered junction,Slight,Daylight,1.0,2.0,Wet or damp,Single carriageway,30.0,13.0,Urban,Raining no high winds,Car
200901BS70491,2021-09-03,Thursday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,18.0,Urban,Fine no high winds,Car
200901BS70492,2021-09-04,Friday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,9.0,Urban,Fine no high winds,Car
200901BS70493,2021-09-02,Wednesday,T or staggered junction,Slight,Daylight,1.0,2.0,Wet or damp,Single carriageway,30.0,18.0,Urban,Raining no high winds,Car
200901BS70495,2021-09-06,Sunday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,15.0,Urban,Fine no high winds,Car
200901BS70496,2021-09-08,Tuesday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,One way street,30.0,12.0,Urban,Fine no high winds,Car
200901BS70498,2021-09-06,Sunday,Crossroads,Slight,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,0.0,Urban,Fine no high winds,Van
200901BS70499,2021-09-03,Thursday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,17.0,Urban,Fine no high winds,Car
200901BS70500,2021-09-08,Tuesday,T or staggered junction,Slight,Daylight,1.0,3.0,Dry,Single carriageway,30.0,17.0,Urban,Fine no high winds,Car
200901BS70501,2021-09-09,Wednesday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,Dual carriageway,30.0,12.0,Urban,Fine no high winds,Car
200901BS70503,2021-09-14,Monday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,6.0,Urban,Fine no high winds,Car
200901BS70504,2021-09-14,Monday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,11.0,Urban,Fine no high winds,Car
200901BS70505,2021-09-12,Saturday,T or staggered junction,Serious,Daylight,1.0,1.0,Dry,Single carriageway,30.0,10.0,Urban,Fine no high winds,Car
200901BS70506,2021-09-09,Wednesday,Not at junction or within 20 metres,Slight,Daylight,2.0,1.0,Dry,Single carriageway,30.0,15.0,Urban,Fine no high winds,Bus
200901BS70507,2021-09-01,Tuesday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,12.0,Urban,Fine no high winds,Car
200901BS70508,2021-09-14,Monday,Not at junction or within 20 metres,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,15.0,Urban,Fine no high winds,Car
200901BS70509,2021-09-14,Monday,Not at junction or within 20 metres,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,12.0,Urban,Fine no high winds,Car
200901BS70511,2021-09-17,Thursday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,13.0,Urban,Fine no high winds,Car
200901BS70512,2021-09-19,Saturday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,One way street,30.0,17.0,Urban,Fine no high winds,Car
200901BS70513,2021-09-19,Saturday,T or staggered junction,Slight,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,20.0,Urban,Fine no high winds,Motorcycle
200901BS70514,2021-09-19,Saturday,Crossroads,Slight,Darkness - lights lit,2.0,2.0,Dry,Dual carriageway,30.0,1.0,Urban,Fine no high winds,Car
200901BS70515,2021-09-10,Thursday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,16.0,Urban,Fine no high winds,Motorcycle
200901BS70517,2021-09-17,Thursday,More than 4 arms (not roundabout),Slight,Daylight,1.0,2.0,Dry,One way street,30.0,6.0,Urban,Fine no high winds,Car
200901BS70518,2021-09-08,Tuesday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,8.0,Urban,Fine no high winds,Motorcycle
200901BS70519,2021-09-22,Tuesday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,16.0,Urban,Fine no high winds,Car
200901BS70520,2021-09-21,Monday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,16.0,Urban,Fine no high winds,Car
200901BS70521,2021-09-22,Tuesday,Crossroads,Slight,Daylight,1.0,1.0,Dry,Dual carriageway,30.0,16.0,Urban,Fine no high winds,Car
200901BS70522,2021-09-15,Tuesday,Crossroads,Serious,Daylight,2.0,1.0,Wet or damp,Single carriageway,30.0,17.0,Urban,Raining no high winds,Motorcycle
200901BS70524,2021-09-22,Tuesday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,18.0,Urban,Fine no high winds,Car
200901BS70525,2021-09-22,Tuesday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,13.0,Urban,Fine no high winds,Car
200901BS70526,2021-09-16,Wednesday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,18.0,Urban,Fine no high winds,Other
200901BS70529,2021-09-25,Friday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,14.0,Urban,Fine no high winds,Car
200901BS70532,2021-09-27,Sunday,Not at junction or within 20 metres,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,23.0,Urban,Fine no high winds,Car
200901BS70533,2021-09-25,Friday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,16.0,Urban,Fine no high winds,Car
200901BS70534,2021-09-21,Monday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,14.0,Urban,Fine no high winds,Taxi
200901BS70535,2021-09-23,Wednesday,T or staggered junction,Serious,Daylight,1.0,2.0,Dry,Single carriageway,30.0,15.0,Urban,Fine no high winds,Car
200901BS70536,2021-09-23,Wednesday,Not at junction or within 20 metres,Slight,Darkness - lights lit,1.0,1.0,Wet or damp,Single carriageway,30.0,19.0,Urban,Raining no high winds,Car
200901BS70537,2021-09-23,Wednesday,Not at junction or within 20 metres,Slight,Darkness - lights lit,1.0,2.0,Wet or damp,Single carriageway,30.0,21.0,Urban,Fine no high winds,Car
200901BS70538,2021-09-16,Wednesday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,17.0,Urban,Fine no high winds,Other
200901BS70539,2021-09-28,Monday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,8.0,Urban,Fine no high winds,Car
200901BS70540,2021-09-25,Friday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,16.0,Urban,Fine no high winds,Car
200901BS70541,2021-09-23,Wednesday,Crossroads,Slight,Darkness - lights lit,1.0,2.0,Wet or damp,Single carriageway,30.0,20.0,Urban,Raining no high winds,Car
200901BS70542,2021-09-15,Tuesday,Not at junction or within 20 metres,Slight,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,19.0,Urban,Fine no high winds,Van
200901BS70543,2021-09-26,Saturday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,18.0,Urban,Fine no high winds,Van
200901BS70544,2021-09-25,Friday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Dual carriageway,30.0,8.0,Urban,Fine no high winds,Car
200901BS70545,2021-09-14,Monday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,10.0,Urban,Fine no high winds,Car
200901BS70547,2021-09-28,Monday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,12.0,Urban,Fine no high winds,Motorcycle
200901BS70548,2021-06-10,Wednesday,Not at junction or within 20 metres,Serious,Daylight,1.0,2.0,Dry,Single carriageway,30.0,9.0,Urban,Fine no high winds,Other
200901BS70550,2021-09-30,Wednesday,Roundabout,Serious,Darkness - lights lit,3.0,2.0,Dry,Roundabout,40.0,19.0,Urban,Fine no high winds,Car
200901BS70551,2021-10-02,Friday,Not at junction or within 20 metres,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,21.0,Urban,Fine no high winds,Car
200901BS70552,2021-10-02,Friday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,18.0,Urban,Fine no high winds,Car
200901BS70553,2021-09-30,Wednesday,T or staggered junction,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,18.0,Urban,Fine no high winds,Car
200901BS70554,2021-10-01,Thursday,T or staggered junction,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,0.0,Urban,Fine no high winds,Car
200901BS70555,2021-09-30,Wednesday,Not at junction or within 20 metres,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,16.0,Urban,Fine no high winds,Car
200901BS70556,2021-10-02,Friday,T or staggered junction,Slight,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,2.0,Urban,Fine no high winds,Car
200901BS70557,2021-10-03,Saturday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,17.0,Urban,Fine + high winds,Car
200901BS70558,2021-10-02,Friday,T or staggered junction,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,21.0,Urban,Fine no high winds,Car
200901BS70559,2021-09-28,Monday,T or staggered junction,Serious,Daylight,1.0,2.0,Dry,Single carriageway,30.0,8.0,Urban,Fine no high winds,Motorcycle
200901BS70560,2021-09-22,Tuesday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,16.0,Urban,Fine no high winds,Motorcycle
200901BS70561,2021-09-22,Tuesday,Not at junction or within 20 metres,Serious,Daylight,1.0,1.0,Dry,Single carriageway,30.0,11.0,Urban,Fine no high winds,Car
200901BS70562,2021-10-06,Tuesday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,17.0,Urban,Fine no high winds,Bus
200901BS70563,2021-10-06,Tuesday,T or staggered junction,Serious,Daylight,1.0,1.0,Dry,Single carriageway,30.0,16.0,Urban,Fine no high winds,Car
200901BS70564,2021-09-29,Tuesday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,10.0,Urban,Fine no high winds,Car
200901BS70565,2021-10-12,Monday,T or staggered junction,Slight,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,0.0,Urban,Fine no high winds,Car
200901BS70566,2021-10-09,Friday,Not at junction or within 20 metres,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,12.0,Urban,Fine no high winds,Car
200901BS70567,2021-10-09,Friday,T or staggered junction,Slight,Daylight,1.0,1.0,Wet or damp,Single carriageway,30.0,17.0,Urban,Raining no high winds,Car
200901BS70568,2021-10-01,Thursday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,12.0,Urban,Fine no high winds,Car
200901BS70569,2021-09-27,Sunday,T or staggered junction,Serious,Daylight,1.0,2.0,Dry,Single carriageway,30.0,7.0,Urban,Fine no high winds,Motorcycle
200901BS70570,2021-10-10,Saturday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,14.0,Urban,Fine no high winds,Car
200901BS70571,2021-10-04,Sunday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,10.0,Urban,Fine no high winds,Car
200901BS70572,2021-10-01,Thursday,Not at junction or within 20 metres,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,15.0,Urban,Fine no high winds,Car
200901BS70573,2021-10-12,Monday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,10.0,Urban,Fine no high winds,Van
200901BS70574,2021-10-09,Friday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,9.0,Urban,Fine no high winds,Car
200901BS70576,2021-10-04,Sunday,Crossroads,Slight,Daylight,2.0,2.0,Dry,Dual carriageway,30.0,14.0,Urban,Fine no high winds,Car
200901BS70577,2021-10-12,Monday,Not at junction or within 20 metres,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,19.0,Urban,Fine no high winds,Car
200901BS70578,2021-10-08,Thursday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,8.0,Urban,Fine no high winds,Car
200901BS70579,2021-10-12,Monday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,16.0,Urban,Fine no high winds,Car
200901BS70580,2021-10-13,Tuesday,T or staggered junction,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,20.0,Urban,Fine no high winds,Car
200901BS70581,2021-10-09,Friday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,14.0,Urban,Fine no high winds,Car
200901BS70583,2021-09-27,Sunday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,13.0,Urban,Fine no high winds,Bus
200901BS70584,2021-10-13,Tuesday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,14.0,Urban,Fine no high winds,Car
200901BS70585,2021-10-13,Tuesday,Crossroads,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,13.0,Urban,Fine no high winds,Car
200901BS70586,2021-10-12,Monday,T or staggered junction,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,21.0,Urban,Fine no high winds,Car
200901BS70588,2021-10-15,Thursday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,12.0,Urban,Fine no high winds,Car
200901BS70589,2021-10-18,Sunday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,One way street,30.0,13.0,Urban,Fine no high winds,Car
200901BS70590,2021-10-17,Saturday,Not at junction or within 20 metres,Slight,Darkness - lights lit,1.0,2.0,Dry,Dual carriageway,30.0,22.0,Urban,Fine no high winds,Van
200901BS70593,2021-10-19,Monday,Roundabout,Serious,Darkness - lights lit,1.0,2.0,Dry,Roundabout,30.0,20.0,Urban,Fine no high winds,Car
200901BS70594,2021-10-09,Friday,T or staggered junction,Slight,Daylight,1.0,3.0,Dry,Single carriageway,30.0,16.0,Urban,Fine no high winds,Car
200901BS70595,2021-10-19,Monday,T or staggered junction,Slight,Darkness - lights lit,1.0,3.0,Dry,Dual carriageway,30.0,18.0,Urban,Fine no high winds,Car
200901BS70596,2021-08-31,Monday,Not at junction or within 20 metres,Serious,Daylight,1.0,1.0,Dry,Single carriageway,30.0,10.0,Urban,Fine no high winds,Car
200901BS70597,2021-10-20,Tuesday,Roundabout,Slight,Darkness - lights lit,2.0,2.0,Dry,Roundabout,30.0,0.0,Urban,Fine no high winds,Other
200901BS70598,2021-10-20,Tuesday,Not at junction or within 20 metres,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,19.0,Urban,Fine no high winds,Other
200901BS70599,2021-10-13,Tuesday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,Dual carriageway,40.0,15.0,Urban,Fine no high winds,Motorcycle
200901BS70600,2021-09-25,Friday,Not at junction or within 20 metres,Slight,Daylight,1.0,1.0,Dry,One way street,30.0,15.0,Urban,Fine no high winds,Car
200901BS70601,2021-10-22,Thursday,T or staggered junction,Slight,Darkness - lights lit,1.0,2.0,Dry,Dual carriageway,30.0,21.0,Urban,Other,Car
200901BS70602,2021-10-23,Friday,T or staggered junction,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,21.0,Urban,Fine no high winds,Motorcycle
200901BS70603,2021-10-24,Saturday,Crossroads,Slight,Daylight,3.0,4.0,Dry,One way street,30.0,14.0,Urban,Fine no high winds,Car
200901BS70604,2021-10-16,Friday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,11.0,Urban,Fine no high winds,Car
200901BS70605,2021-10-23,Friday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,9.0,Urban,Fine no high winds,Car
200901BS70606,2021-10-21,Wednesday,Crossroads,Slight,Darkness - lights lit,1.0,2.0,Dry,Dual carriageway,30.0,20.0,Urban,Fine no high winds,Car
200901BS70607,2021-10-16,Friday,Private drive or entrance,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,8.0,Urban,Fine no high winds,Other
200901BS70608,2021-10-04,Sunday,T or staggered junction,Serious,Daylight,1.0,2.0,Dry,Dual carriageway,30.0,16.0,Urban,Fine no high winds,Car
200901BS70609,2021-10-13,Tuesday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,13.0,Urban,Fine no high winds,Car
200901BS70610,2021-10-13,Tuesday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,8.0,Urban,Fine no high winds,Car
200901BS70611,2021-06-05,Friday,Not at junction or within 20 metres,Slight,Daylight,1.0,9.0,Dry,Single carriageway,30.0,13.0,Urban,Fine no high winds,Van
200901BS70613,2021-10-21,Wednesday,T or staggered junction,Serious,Daylight,1.0,2.0,Dry,Single carriageway,30.0,8.0,Urban,Fine no high winds,Car
200901BS70614,2021-10-26,Monday,Not at junction or within 20 metres,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,20.0,Urban,Fine no high winds,Car
200901BS70615,2021-10-28,Wednesday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,15.0,Urban,Fine no high winds,Car
200901BS70616,2021-10-30,Friday,More than 4 arms (not roundabout),Slight,Daylight,2.0,2.0,Dry,Single carriageway,30.0,13.0,Urban,Fine no high winds,Car
200901BS70617,2021-10-30,Friday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,One way street,30.0,8.0,Urban,Fine no high winds,Car
200901BS70618,2021-11-01,Sunday,T or staggered junction,Slight,Daylight,2.0,2.0,Dry,Single carriageway,30.0,15.0,Urban,Fine + high winds,Car
200901BS70619,2021-10-28,Wednesday,T or staggered junction,Slight,Darkness - lights lit,1.0,3.0,Dry,Single carriageway,30.0,20.0,Urban,Fine no high winds,Car
200901BS70620,2021-10-28,Wednesday,T or staggered junction,Serious,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,19.0,Urban,Fine no high winds,Car
200901BS70621,2021-10-21,Wednesday,Not at junction or within 20 metres,Slight,Daylight,2.0,1.0,Dry,Single carriageway,30.0,8.0,Urban,Fine no high winds,Other
200901BS70622,2021-10-28,Wednesday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,13.0,Urban,Fine no high winds,Car
200901BS70623,2021-10-20,Tuesday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,17.0,Urban,Fine no high winds,Car
200901BS70624,2021-10-29,Thursday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,14.0,Urban,Fine no high winds,Van
200901BS70625,2021-11-01,Sunday,Roundabout,Slight,Darkness - lights lit,1.0,2.0,Dry,Roundabout,30.0,18.0,Urban,Fine no high winds,Other
200901BS70626,2021-10-24,Saturday,Crossroads,Slight,Darkness - lights lit,1.0,1.0,Wet or damp,One way street,30.0,15.0,Urban,Raining no high winds,Motorcycle
200901BS70627,2021-11-01,Sunday,Not at junction or within 20 metres,Slight,Daylight,1.0,1.0,Wet or damp,One way street,30.0,8.0,Urban,Raining no high winds,Van
200901BS70628,2021-11-03,Tuesday,T or staggered junction,Slight,Daylight,1.0,2.0,Wet or damp,Single carriageway,30.0,7.0,Urban,Raining no high winds,Van
200901BS70629,2021-10-23,Friday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,11.0,Urban,Fine no high winds,Van
200901BS70630,2021-11-04,Wednesday,Crossroads,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,8.0,Urban,Fine no high winds,Car
200901BS70631,2021-11-02,Monday,T or staggered junction,Slight,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,20.0,Urban,Fine no high winds,Car
200901BS70633,2021-11-07,Saturday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,11.0,Urban,Fine no high winds,Motorcycle
200901BS70634,2021-10-31,Saturday,T or staggered junction,Slight,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,20.0,Urban,Fine no high winds,Car
200901BS70635,2021-10-28,Wednesday,Roundabout,Slight,Darkness - lights lit,1.0,3.0,Dry,Dual carriageway,50.0,17.0,Urban,Fine no high winds,Car
200901BS70636,2021-11-05,Thursday,Crossroads,Slight,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,22.0,Urban,Fine no high winds,Car
200901BS70637,2021-10-31,Saturday,T or staggered junction,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,4.0,Urban,Fine no high winds,Car
200901BS70638,2021-10-23,Friday,Not at junction or within 20 metres,Slight,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,30.0,0.0,Urban,Fine no high winds,Car
200901BS70639,2021-10-31,Saturday,T or staggered junction,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,19.0,Urban,Fine no high winds,Car
200901BS70640,2021-11-06,Friday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Dual carriageway,30.0,12.0,Urban,Fine no high winds,Car
200901BS70641,2021-11-06,Friday,T or staggered junction,Slight,Darkness - lights lit,1.0,1.0,Dry,One way street,30.0,6.0,Urban,Fine no high winds,Motorcycle
200901BS70642,2021-11-05,Thursday,Crossroads,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,17.0,Urban,Fine no high winds,Car
200901BS70643,2021-10-28,Wednesday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,7.0,Urban,Fine no high winds,Car
200901BS70644,2021-11-06,Friday,Not at junction or within 20 metres,Slight,Darkness - lights lit,1.0,2.0,Wet or damp,Single carriageway,30.0,16.0,Urban,Raining no high winds,Car
200901BS70645,2021-10-31,Saturday,Crossroads,Slight,Daylight,1.0,1.0,Dry,One way street,30.0,15.0,Urban,Fine no high winds,Car
200901BS70646,2021-10-24,Saturday,T or staggered junction,Slight,Daylight,1.0,1.0,Dry,Single carriageway,30.0,16.0,Urban,Fine no high winds,Car
200901BS70647,2021-11-06,Friday,T or staggered junction,Slight,Darkness - lights lit,1.0,2.0,Wet or damp,Single carriageway,30.0,18.0,Urban,Raining no high winds,Car
200901BS70648,2021-11-10,Tuesday,Crossroads,Slight,Daylight,1.0,1.0,Dry,One way street,30.0,13.0,Urban,Fine no high winds,Car
200901BS70649,2021-11-05,Thursday,T or staggered junction,Slight,Darkness - lights lit,1.0,4.0,Wet or damp,Single carriageway,30.0,23.0,Urban,Fine no high winds,Car
200901BS70650,2021-11-06,Friday,Not at junction or within 20 metres,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,7.0,Urban,Fine no high winds,Car
200901BS70651,2021-11-03,Tuesday,Crossroads,Slight,Daylight,1.0,3.0,Wet or damp,Single carriageway,30.0,8.0,Urban,Raining no high winds,Car
200901BS70653,2021-11-11,Wednesday,Crossroads,Slight,Darkness - lights lit,1.0,1.0,Wet or damp,Dual carriageway,30.0,23.0,Urban,Raining + high winds,Motorcycle
200901BS70654,2021-11-12,Thursday,Crossroads,Slight,Darkness - lights lit,1.0,2.0,Wet or damp,Single carriageway,30.0,17.0,Urban,Raining no high winds,Car
200901BS70655,2021-11-11,Wednesday,Crossroads,Serious,Daylight,1.0,1.0,Wet or damp,Single carriageway,30.0,9.0,Urban,Fine no high winds,Car
200901BS70657,2021-10-31,Saturday,Not at junction or within 20 metres,Slight,Darkness - lights lit,1.0,1.0,Dry,Single carriageway,40.0,3.0,Urban,Fine no high winds,Car
200901BS70658,2021-11-13,Friday,T or staggered junction,Slight,Daylight,1.0,2.0,Dry,Single carriageway,30.0,9.0,Urban,Fine no high winds,Car
200901BS70659,2021-11-15,Sunday,T or staggered junction,Slight,Darkness - lights lit,1.0,2.0,Wet or damp,Single carriageway,30.0,23.0,Urban,Fine no high winds,Van
200901BS70660,2021-11-15,Sunday,T or staggered junction,Slight,Darkness - lights lit,1.0,2.0,Dry,Dual carriageway,30.0,18.0,Urban,Fine no high winds,Van
200901BS70661,2021-11-12,Thursday,Private drive or entrance,Slight,Darkness - lights lit,1.0,2.0,Dry,Single carriageway,30.0,15.0,Urban,Fine no high winds,Car
